Timestamp;Market Long proba (%);Market Short proba (%);Order Type;Market Mid;Holding;Holding Value;Index BTC;Index Port
20:09.1;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
20:12.4;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
20:15.7;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
20:18.8;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
20:21.5;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
20:24.9;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
20:28.1;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
20:31.4;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
20:34.4;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
20:37.4;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
20:41.2;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
20:44.8;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
20:48.0;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
20:52.2;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
20:57.0;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
21:01.1;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
21:04.4;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
21:08.2;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
21:12.1;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
21:15.7;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
21:19.0;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
21:22.4;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
21:26.0;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
21:29.3;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
21:33.0;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
21:36.4;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
21:40.2;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
21:43.8;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
21:48.1;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
21:51.6;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
21:55.2;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
